Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
SunSuria Forum,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,132,$0.40,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,13,$0.01,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,139,$0.70,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,40,$0.20,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,15,$0.21,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,2,$0.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,1,$0.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Orando Holdings,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,1,$0.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,1,$0.01,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Demo,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,5,$0.02,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
