Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
Orando Holdings,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,3,$0.24,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Orando Holdings,MNC Tech Sdn Bhd,Service,Conference,N/A,Conference Minute - APAC - Singapore,9,$0.03,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,5,$0.00,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Programmable Messaging,N/A,Failed Message Processing Fee,1,$0.00,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - TwiML <Dial>/<Recording>,1,$0.00,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,12,$0.35,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo 2,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,2,$0.16,ACdea55fd215135fbb5ef8b455cb396030,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Client Calls,N/A,Twilio Client Minutes,28,$0.11,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - Outbound API,6,$0.02,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - TwiML <Dial>/<Recording>,13,$0.03,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,14,$1.12,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Demo,MNC Tech Sdn Bhd,Service,Conference,N/A,Conference Minute - APAC - Singapore,15,$0.05,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
The Peak,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
The Peak,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,4,$0.12,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
The Peak,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,4,$0.00,ACe7a0bec64c9bfdd2ff4b0df2aaad62e2,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
