Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,3,$0.01,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,305,$0.76,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,33,$0.95,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,310,$24.80,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,824,$2.47,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Suez Capital Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,4,$16.00,AC9906e1973b5c263fe425965806a4cd94,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Suez Capital Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,4,$0.01,AC9906e1973b5c263fe425965806a4cd94,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Suez Capital Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,4,$0.32,AC9906e1973b5c263fe425965806a4cd94,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Suez Capital Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,5,$0.14,AC9906e1973b5c263fe425965806a4cd94,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Suez Capital Sdn Bhd,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,5,$0.00,AC9906e1973b5c263fe425965806a4cd94,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Seputeh Heights,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Seputeh Heights,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,2,$0.01,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Seputeh Heights,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,2,$0.06,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Seputeh Heights,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,2,$0.16,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Seputeh Heights,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,2,$0.00,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,63,$0.88,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,64,$0.32,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
